,ratio,pvalue,tstat,sigma,MMDXY,MMDXZ,vae1_score,vae2_score,unenc_score
0,0.3,1.0,-12.6548900328931,11.453164662398313,0.0800011673378741,0.1849834285285441,0.9222,0.8679,0.9203
1,0.5,0.8033235578088518,-0.8535526847358778,12.288054147932975,0.1554213079036625,0.16329555769665705,0.8804,0.8797,0.9203
2,1.0,1.8454978264728843e-05,4.12601726844249,12.999089508315517,0.2280375695605178,0.1967395478271753,0.8569,0.8636,0.9203
3,2.0,2.4653149327944286e-09,5.8494965915334145,12.831471220581355,0.21788605514441495,0.17562739351165424,0.8673,0.8434,0.9203
4,3.3,0.00689797660165618,2.462532855950346,13.114378277661476,0.22648363856674858,0.20666982551967317,0.8624,0.8467,0.9203
5,5.0,4.198600021770166e-21,9.354530275670482,12.48697007250679,0.2179621001832266,0.14563310607229418,0.857,0.8862,0.9203
6,0.3,0.9999999999996264,-7.170501638152613,12.210534740727677,0.13950518491861041,0.20192695907776703,0.8882,0.8584,0.9203
7,0.5,0.002362543702930706,2.825201615596669,12.786173679941934,0.21234600429070427,0.18912103990463758,0.8513,0.8757,0.9203
8,1.0,0.41465111450366865,0.21559657085270578,12.35870631362791,0.17240550437918922,0.17049284315646107,0.8528,0.885,0.9203
9,2.0,9.777963412208271e-05,3.724684985201659,12.71699956236813,0.21184061727879533,0.1786051195217523,0.8559,0.8717,0.9203
10,3.3,1.5920730208012146e-15,7.883469228658285,12.716849453222856,0.23097720643346664,0.1639558668490536,0.8344,0.8643,0.9203
11,5.0,2.4258048212238456e-06,4.571104192494323,12.36334866734645,0.20018972000934676,0.16123107296056594,0.8485,0.8861,0.9203
12,0.3,1.0,-10.431266678677531,11.945296797926195,0.11200598504670922,0.2018580487559627,0.9157,0.8589,0.9203
13,0.5,0.0003109308832029616,3.421895643259784,12.555558993681306,0.20293686325474503,0.1698009655626882,0.8758,0.8792,0.9203
14,1.0,0.006536201937748352,2.4817906857863163,12.17350501615209,0.18042972971932725,0.15612573663778784,0.8833,0.8893,0.9203
15,2.0,1.0734619655909024e-30,11.457885487432574,12.469123041371825,0.23352683519293838,0.13713585110805337,0.8595,0.8953,0.9203
16,3.3,9.590973810214428e-12,6.712117995289754,12.997210611389727,0.23615379191223396,0.18447887710479072,0.8652,0.8651,0.9203
17,5.0,9.89340623400085e-40,13.13859438935848,12.977945415067461,0.2636389732594071,0.1658102169353829,0.838,0.8928,0.9203
18,0.3,1.0,-23.093526997895477,11.207826902064445,0.037555572846599716,0.19936811125892206,0.9258,0.8523,0.9203
19,0.5,0.16419852607177765,0.9773476870229639,12.697963393439935,0.1953343845424378,0.18690442947359476,0.858,0.8913,0.9203
20,1.0,0.05290200879541975,1.6173441340390986,11.595790186771488,0.14743764606191778,0.1333812486254442,0.8833,0.898,0.9203
21,2.0,6.171900477794036e-05,3.8391957086617086,12.637517736660591,0.20447625904371214,0.17306139543232546,0.8498,0.8636,0.9203
22,3.3,0.004203521683265214,2.6352697829762186,12.960562761734849,0.22301117970355122,0.20306360139807378,0.8749,0.8598,0.9203
23,5.0,1.8534184142499992e-07,5.0834277176368525,13.150624453769101,0.24322425380954582,0.20439838858814485,0.8584,0.8617,0.9203
24,0.3,0.9995173838762618,-3.300469441130572,11.804858632874902,0.13971697541292216,0.1716374949054672,0.9025,0.8886,0.9203
25,0.5,1.0,-20.8900164808964,11.519087652478255,0.05710437264720447,0.20706140472609946,0.9141,0.8692,0.9203
26,1.0,8.21934839071052e-06,4.308471077524934,12.616157953250946,0.2102121685656212,0.1732837608980018,0.8131,0.8785,0.9203
27,2.0,1.6606034619920175e-09,5.9148784812215975,12.762801874182424,0.21896869306098043,0.1724977780027983,0.8636,0.8576,0.9203
28,3.3,0.010767766497765499,2.2984615651589944,12.73710027159355,0.2074378059492349,0.1895979047313343,0.8554,0.8742,0.9203
29,5.0,2.7115926977683794e-15,7.816686710718204,12.78892279527571,0.23551290551485426,0.17351039653198563,0.8647,0.8709,0.9203
30,0.3,0.9503427832414553,-1.648186367026174,11.29052593395982,0.11966413844262991,0.13510016108639233,0.9249,0.903,0.9203
31,0.5,0.9975443927000796,-2.8128002698425894,11.820223363411408,0.13340654771065186,0.15756468071535257,0.8915,0.8713,0.9203
32,1.0,8.80773148235168e-15,7.66693526251795,12.679751026849804,0.22379046446815398,0.16466397621124274,0.861,0.8634,0.9203
33,2.0,0.7954335419666916,-0.8254204722804217,13.067046807447769,0.21221257498275758,0.218819892245943,0.8429,0.8745,0.9203
34,3.3,1.3821099070243579e-17,8.45611964862133,12.189987673336002,0.2071388239735762,0.13219533117829396,0.864,0.9017,0.9203
35,5.0,4.736557732395843e-10,6.1180435942959255,12.968510791230894,0.24072227390949186,0.19550357042121147,0.837,0.8642,0.9203
36,0.3,1.0,-21.448233969325077,11.24186452099212,0.044755710268082005,0.1937500942041267,0.9305,0.8689,0.9203
37,0.5,0.9999999999999559,-7.457534479511857,11.644102863722253,0.10518554478740172,0.17048326328085361,0.9102,0.8697,0.9203
38,1.0,0.40457926244963494,0.24151173179875593,12.549837157605488,0.18497316578632272,0.18277825389044722,0.8552,0.8721,0.9203
39,2.0,2.7239954075682935e-06,4.546752856784334,12.646082430086533,0.202738461027286,0.1667402535446435,0.8484,0.884,0.9203
40,3.3,8.122063149601763e-08,5.237869034740708,12.987781680424813,0.2349571263633189,0.1935554100179795,0.8343,0.8697,0.9203
41,5.0,2.228916705475254e-22,9.660018525887947,12.992464620277769,0.25277914721870753,0.1777110293204407,0.8521,0.8839,0.9203
42,0.3,0.9999999998020568,-6.255640985939518,11.680252049681162,0.11440144988142076,0.1675397975981595,0.9095,0.8724,0.9203
43,0.5,0.6508607301143134,-0.3876453011423999,12.08260307883244,0.16091209878928947,0.16444376931924842,0.888,0.8855,0.9203
44,1.0,0.6983767464063689,-0.5197375558920787,12.649048876684006,0.18348676135739006,0.18770739388674174,0.8579,0.8642,0.9203
45,2.0,0.021688388555191025,2.0200637330749602,12.61877239038938,0.1971111529443148,0.1792896238461933,0.8747,0.8613,0.9203
46,3.3,0.05620825346670919,1.5874246198300357,12.598942987348892,0.19195121366386458,0.1775603286498253,0.8644,0.8614,0.9203
47,5.0,7.807070821059232e-06,4.319841345192687,13.04612724990113,0.23094518941559938,0.20046973094781428,0.8716,0.8626,0.9203
48,0.3,1.0,-14.817737017255679,11.222018858328962,0.059354832734757945,0.17506757709253973,0.9268,0.876,0.9203
49,0.5,1.0,-8.300621062869062,12.108523677216956,0.13101058653959052,0.19729794351278207,0.8979,0.8559,0.9203
50,1.0,3.661576992362994e-05,3.9655348869389693,12.606884682748538,0.2049183855466098,0.16813550512362818,0.8621,0.8747,0.9203
51,2.0,5.37338016556156e-06,4.401575612533268,12.222073588507225,0.18927079146106007,0.15400199645803925,0.841,0.8499,0.9203
52,3.3,3.6282280669441804e-10,6.160393154805637,12.791374666310979,0.225110968527247,0.17663477307951891,0.8347,0.857,0.9203
53,5.0,1.4779588264621564e-20,9.220545787189286,12.629917425047559,0.22672051805947357,0.15734353961391523,0.8743,0.8833,0.9203
54,0.3,1.0,-20.779859500265324,11.187308109314168,0.044767916415524134,0.18366190174869734,0.922,0.8718,0.9203
55,0.5,0.9972246763934035,-2.773208923955231,12.151584594559214,0.15380523722281758,0.17803779814044052,0.8855,0.8826,0.9203
56,1.0,4.255809885224588e-07,4.923255515586102,12.556980532912583,0.20662018754724898,0.1630145292417512,0.8664,0.8698,0.9203
57,2.0,0.9735283365837136,-1.935382894283146,13.028217169264924,0.20531731307433632,0.22034984368398625,0.8598,0.8601,0.9203
58,3.3,0.07825479483911231,1.4169088124593858,12.746583106289055,0.19800495339168456,0.18563706632671073,0.8612,0.8754,0.9203
59,5.0,5.150973604738128e-05,3.883367993896342,12.930258706384507,0.22112411902095475,0.18880350120575007,0.8219,0.8815,0.9203
60,0.3,1.0,-8.314594789750327,12.312750275546353,0.1374047243728852,0.21052381181500623,0.8953,0.8748,0.9203
61,0.5,1.5725327952545401e-18,8.70610101907792,12.394913061275798,0.21653824192831772,0.14354108634912133,0.8691,0.898,0.9203
62,1.0,0.8505113311781815,-1.0386289473878412,12.688332773861099,0.18894663000513934,0.19794609771679939,0.8792,0.8633,0.9203
63,2.0,7.721078195762189e-08,5.247207952578607,12.773330371980974,0.22037048569564344,0.17792459432335173,0.8528,0.8595,0.9203
64,3.3,1.9499212799651614e-07,5.073782761648943,12.997595041736865,0.23166225108585647,0.19038852866616585,0.8702,0.8752,0.9203
65,5.0,0.0002602710266853995,3.4699568141494614,13.266017299112779,0.2393435526218869,0.21646318124320285,0.8685,0.8516,0.9203
66,0.3,1.0,-14.87860456843788,11.570614480564704,0.07846287933597917,0.19424464479420922,0.9224,0.8756,0.9203
67,0.5,0.9999998050528989,-5.073826684493,11.57550889209195,0.10891193449599068,0.15535913206679552,0.9025,0.8971,0.9203
68,1.0,0.7969058678941541,-0.830620121196541,12.509852343982633,0.17148467163318326,0.17916044372545314,0.8806,0.8739,0.9203
69,2.0,6.6353590791432e-10,6.064084734393667,12.730072799881999,0.2235397672137922,0.17209665633706317,0.822,0.8694,0.9203
70,3.3,0.0009228281854849873,3.1140061589667796,12.746039751777959,0.20477597476122322,0.17828185619918047,0.8562,0.859,0.9203
71,5.0,6.516021559925693e-08,5.278394824262541,12.704364129827702,0.21336117375143193,0.17139593797198127,0.8636,0.8722,0.9203
72,0.3,1.0,-27.710980720601743,11.563957554797954,0.04985906681410168,0.234274620674504,0.9328,0.8517,0.9203
73,0.5,0.00019458974514310567,3.547314647567405,12.129299146368307,0.17807590463366407,0.14612292885649136,0.8468,0.8828,0.9203
74,1.0,0.5838305135840017,-0.21170271117348194,11.747320847749197,0.14478079113738163,0.14676843903044223,0.8853,0.8947,0.9203
75,2.0,6.885604618150736e-24,10.010029053773378,12.226521769383062,0.21219264398766235,0.1301572841566826,0.8577,0.8842,0.9203
76,3.3,0.0006061912175563819,3.2359508836587527,12.921399554980928,0.2212597765026667,0.19801778240475676,0.866,0.87,0.9203
77,5.0,0.005280333799795052,2.556909541615681,13.332261955768729,0.2466784299240936,0.23148234192017514,0.8493,0.8323,0.9203
